el rey
el emperador
un mago
un guerrero
un mercenario
un guardia
un mercader
un juglar
un viajero
un gladiador
un bárbaro
un montaraz
un druida
un dragón
un monstruo
una criatura mágica
un humanoide
un señor de la guerra
un tirano
un alquimista
un artesano
un sabio
un superviviente
un esclavo
un fugitivo
un no-muerto
un ladrón
un asesino
un noble
un primogénito
un prometido
un hijo
un licántropo
un gigante
un capitán
un pirata
un contrabandista
un brujo
un chamán
un cacique
un líder
un opositor
un traidor
un prisionero
un vampiro
un liche
un drow
el príncipe
la princesa
el heredero
un paladín
un caballero
un monje
un clérigo
un devoto
un adorador
un sectario
un espía
un adivino
un oráculo
un bandido
un mensajero
un sacerdote
