objeto
un objeto mágico
un barco
un cargamento
unas armas
una torre
el ganado
sus recuerdos
una sustancia alquímica
una planta
un libro
un diario
una carta
un edicto
un mensaje
un pergamino
un castillo
un pueblo
una ciudad
una aldea
un lago
una isla
una montaña
un santuario
una capilla
una catedral
la iglesia
el ayuntamiento
un pozo
su casa
una mansión
el cementerio
una lápida
una tumba
una mina
un túnel
una cueva
una caverna
una cascada
un río
un puente
un paso
una piedra
una runa
un megalito
un monumento
una estatua
una tienda
un carromato
un transporte
un animal
un árbol
un portal
una puerta
un pórtico
una taberna
una posada
una caja
un barril
una barcaza
el circo
una entrada
la arena
la recaudación
un tesoro
un cofre
una llave
un sello
una clave
un instrumento
un aparato
una poción
un brebaje
una alcantarilla
un muro
un alcázar
un aljibe
una cosecha
un producto
unas semillas
sus ropas
su oro
su alma
su filacteria
una reliquia
una deidad
un veneno
un escudo
un mapa
un sótano
una bodega
un pasadizo
un acceso secreto
una vía de escape
el mar
un fuerte
un camino
un torreón
una fuente
un cadáver
una moneda
una armadura
un espada
una corona
un cetro
un bastón
un collar
la costa
un acantilado
unas cavernas
un altar
una cripta
un círculo mágico
una pirámide
un templo
una secta
un artefacto
una nota
un espíritu
el cielo
las estrellas
la luna
un cometa
las nubes
